Jurisdiction,Year,Industry,Unit,Quantity
NSW,2012,Residential,PJ,135.282
NSW,2012,Transport,PJ,513.165
NSW,2012,Water and waste,PJ,3.29
NSW,2013,Agriculture,PJ,27.758
NSW,2013,Commercial and services,PJ,87.255
NSW,2013,Construction,PJ,8.838
NSW,2013,Electricity generation,PJ,381.266
NSW,2013,Manufacturing,PJ,296.536
NSW,2013,Mining,PJ,59.605
NSW,2013,Other,PJ,15.765
NSW,2013,Residential,PJ,134.938
NSW,2013,Transport,PJ,510.789
NSW,2013,Water and waste,PJ,3.789
NSW,2014,Agriculture,PJ,30.119
NSW,2014,Commercial and services,PJ,100.254
NSW,2014,Construction,PJ,10.344
NSW,2014,Electricity generation,PJ,375.23
NSW,2014,Manufacturing,PJ,242.23
NSW,2014,Mining,PJ,58.589
NSW,2014,Other,PJ,15.626
NSW,2014,Residential,PJ,130.247
NSW,2014,Transport,PJ,512.829
NSW,2014,Water and waste,PJ,3.368
NSW,2015,Agriculture,PJ,32.27
NSW,2015,Commercial and services,PJ,98.269
NSW,2015,Construction,PJ,12.18
NSW,2015,Electricity generation,PJ,411.688
NSW,2015,Manufacturing,PJ,248.184
NSW,2015,Mining,PJ,61.736
NSW,2015,Other,PJ,14.844
NSW,2015,Residential,PJ,129.887
NSW,2015,Transport,PJ,512.112
NSW,2015,Water and waste,PJ,3.085
NSW,2016,Agriculture,PJ,31.347
NSW,2016,Commercial and services,PJ,97.313
NSW,2016,Construction,PJ,13.379
NSW,2016,Electricity generation,PJ,405.649
NSW,2016,Manufacturing,PJ,247.284
NSW,2016,Mining,PJ,63.66
NSW,2016,Other,PJ,9.707
NSW,2016,Residential,PJ,133.121
NSW,2016,Transport,PJ,528.519
NSW,2016,Water and waste,PJ,3.07
NSW,2017,Agriculture,PJ,31.402
NSW,2017,Commercial and services,PJ,100.994
NSW,2017,Construction,PJ,15.618
NSW,2017,Electricity generation,PJ,410.227
NSW,2017,Manufacturing,PJ,250.58
NSW,2017,Mining,PJ,65.341
NSW,2017,Other,PJ,13.318
NSW,2017,Residential,PJ,132.833
NSW,2017,Transport,PJ,540.686
NSW,2017,Water and waste,PJ,3.673
NSW,2018,Agriculture,PJ,25.393
NSW,2018,Commercial and services,PJ,97.845
NSW,2018,Construction,PJ,15.911
NSW,2018,Electricity generation,PJ,410.127
NSW,2018,Manufacturing,PJ,247.518
NSW,2018,Mining,PJ,69.894
NSW,2018,Other,PJ,15.279
NSW,2018,Residential,PJ,134.021
NSW,2018,Transport,PJ,535.686
NSW,2018,Water and waste,PJ,3.95
NSW,2019,Agriculture,PJ,22.309
NSW,2019,Commercial and services,PJ,95.197
NSW,2019,Construction,PJ,14.579
NSW,2019,Electricity generation,PJ,392.057
NSW,2019,Manufacturing,PJ,242.971
NSW,2019,Mining,PJ,71.506
NSW,2019,Other,PJ,14.577
NSW,2019,Residential,PJ,135.781
NSW,2019,Transport,PJ,484.384
NSW,2019,Water and waste,PJ,4.459
NSW,2020,Agriculture,PJ,33.138
NSW,2020,Commercial and services,PJ,92.899
NSW,2020,Construction,PJ,13.516
NSW,2020,Electricity generation,PJ,371.993
NSW,2020,Manufacturing,PJ,240.713
NSW,2020,Mining,PJ,69.767
NSW,2020,Other,PJ,11.947
NSW,2020,Residential,PJ,138.614
NSW,2020,Transport,PJ,425.586
NSW,2020,Water and waste,PJ,3.467
NSW,2021,Agriculture,PJ,32.819
NSW,2021,Commercial and services,PJ,93.403
NSW,2021,Construction,PJ,12.564
NSW,2021,Electricity generation,PJ,350.684
